date,province,quantile_01.0,quantile_02.5,quantile_25.0,median,quantile_75.0,quantile_97.5,quantile_99.0,mean
2019-12-19,Ningxia,1,1,1,1,1,1,1,1
2019-12-19,Qinghai,1,1,1,1,1,1,1,1
2019-12-19,Shaanxi,1,1,1,1,1.5,2.5,3.3999999999999986,1.3225806451612903
2019-12-19,Shandong,1,1,1,1,2,4.625,5,1.6964285714285714
2019-12-19,Shanghai,1,1,1,1.5,2,4,4.390000000000001,1.7903225806451613
2019-12-19,Shanxi,1,1,1,1,1,2,2,1.2352941176470589
2019-12-19,Sichuan,1,1,1,1.5,2,3.8499999999999943,5,1.703125
2019-12-19,Taiwan,1,1,1,1,1,1,1,1
2019-12-19,Tianjin,1,1,1,1,1.5,2.349999999999998,2.7399999999999984,1.2962962962962963
2019-12-19,Xinjiang,1,1,1,1,1,1,1,1
2019-12-19,Yunnan,1,1,1,1,1,1,1,1
2019-12-19,Zhejiang,1,1,2,3,4,7,8,3.0434782608695654
2019-12-20,Anhui,1,1,1,2,3,6.8999999999999915,7.47999999999999,2.376470588235294
2019-12-20,Beijing,1,1,1,2,3,5.199999999999989,7,2.1298701298701297
2019-12-20,Chongqing,1,1,2,3,4,6.7749999999999915,7.109999999999999,2.8666666666666667
2019-12-20,Fujian,1,1,1,1,2,2.9499999999999957,3.5799999999999983,1.441860465116279
2019-12-20,Gansu,1,1,1,1,1,1.7249999999999996,1.8900000000000006,1.0833333333333333
2019-12-20,Guangdong,1,1,2,4,5,9.575000000000003,10.060000000000002,4.010204081632653
2019-12-20,Guangxi,1,1,1,1,2,3.2749999999999915,4,1.5714285714285714
2019-12-20,Guizhou,1,1,1,1,1,1,1,1
2019-12-20,Hainan,1,1,1,1,1.5,3.1499999999999986,3.6599999999999966,1.4
2019-12-20,Hebei,1,1,1,1,1,2.349999999999998,2.7399999999999984,1.1481481481481481
2019-12-20,Heilongjiang,1,1,1,1,2,3,3,1.3333333333333333
2019-12-20,Henan,1,1,2,3,4,6.625,8.099999999999994,2.9479166666666665
2019-12-20,Hong Kong,1,1,1,1,1,1,1,1
2019-12-20,Hubei,25.99,28.475,38,43,51.25,99.72499999999992,129.1900000000001,47.8
2019-12-20,Hunan,1,1,2,2,3,6.599999999999994,7.1200000000000045,2.606741573033708
2019-12-20,Inner Mongolia,1,1,1,1,1,1,1,1
2019-12-20,Jiangsu,1,1,1,1,2,4,4,1.5833333333333333
2019-12-20,Jiangxi,1,1,1,1,2,4.424999999999997,5.3699999999999974,1.703125
2019-12-20,Jilin,1,1,1,1,1,1,1,1
2019-12-20,Liaoning,1,1,1,1,2,4,4,1.6333333333333333
2019-12-20,Ningxia,1,1,1,1,1,1.8499999999999996,1.9399999999999995,1.1428571428571428
2019-12-20,Qinghai,1,1,1,1,1,1,1,1
2019-12-20,Shaanxi,1,1,1,1,1.5,2.299999999999997,3.319999999999993,1.3142857142857143
2019-12-20,Shandong,1,1,1,1,2,4.449999999999996,5,1.7301587301587302
2019-12-20,Shanghai,1,1,1,2,2,4,4.699999999999989,1.9393939393939394
2019-12-20,Shanxi,1,1,1,1,1,2,2,1.2
2019-12-20,Sichuan,1,1,1,2,2,4.200000000000003,5,1.8493150684931507
2019-12-20,Taiwan,1,1,1,1,1,1,1,1
2019-12-20,Tianjin,1,1,1,1,2,3,3,1.4137931034482758
2019-12-20,Xinjiang,1,1,1,1,1,1,1,1
2019-12-20,Yunnan,1,1,1,1,1,2.224999999999998,2.6900000000000013,1.125
2019-12-20,Zhejiang,1,1,2,3,5,8.649999999999991,9.120000000000005,3.431578947368421
2019-12-21,Anhui,1,1,1.75,2.5,3,6.825000000000003,9.259999999999991,2.7613636363636362
2019-12-21,Beijing,1,1,1,2,3,6.949999999999989,7,2.2560975609756095
2019-12-21,Chongqing,1,1,2,3,4,7,7.299999999999983,3.3076923076923075
2019-12-21,Fujian,1,1,1,1,2,3,3.530000000000001,1.4791666666666667
2019-12-21,Gansu,1,1,1,1,1,1.5749999999999993,1.8299999999999983,1.0555555555555556
2019-12-21,Guangdong,1,1,2.25,4,6,10,11.060000000000002,4.540816326530612
2019-12-21,Guangxi,1,1,1,1,2,4,4,1.676056338028169
2019-12-21,Guizhou,1,1,1,1,1,1.7750000000000004,1.9100000000000001,1.1
2019-12-21,Hainan,1,1,1,1,2,3,3.6000000000000014,1.4634146341463414
2019-12-21,Hebei,1,1,1,1,1,3.1499999999999986,3.6599999999999966,1.2857142857142858
2019-12-21,Heilongjiang,1,1,1,1,2,3,3,1.4166666666666667
2019-12-21,Henan,1,1,2,3,4,7.599999999999994,11.039999999999992,3.288659793814433
2019-12-21,Hong Kong,1,1,1,1,1,1,1,1
2019-12-21,Hubei,29.99,33.425,44.75,49.5,61.25,114.67499999999994,149.1400000000001,55.6
2019-12-21,Hunan,1,1,2,3,4,7.599999999999994,9,2.9775280898876404
2019-12-21,Inner Mongolia,1,1,1,1,1,1,1,1
2019-12-21,Jiangsu,1,1,1,2,2,4,4.349999999999994,1.803030303030303
2019-12-21,Jiangxi,1,1,1,2,2,6.200000000000003,7,1.9315068493150684
2019-12-21,Jilin,1,1,1,1,1,1,1,1
2019-12-21,Liaoning,1,1,1,1,2,4,4,1.6875
2019-12-21,Ningxia,1,1,1,1,1,1.8000000000000007,1.92,1.1111111111111112
2019-12-21,Qinghai,1,1,1,1,1,1,1,1
2019-12-21,Shaanxi,1,1,1,1,1.25,3.0249999999999986,3.6099999999999994,1.325
2019-12-21,Shandong,1,1,1,2,2,5,5,1.9027777777777777
2019-12-21,Shanghai,1,1,1,2,3,4.224999999999994,5.290000000000006,2.0416666666666665
2019-12-21,Shanxi,1,1,1,1,1,2,2,1.2083333333333333
2019-12-21,Sichuan,1,1,1,2,2,4.049999999999997,5.219999999999999,1.9367088607594938
2019-12-21,Taiwan,1,1,1,1,1,1,1,1
2019-12-21,Tianjin,1,1,1,1,2,3,3,1.393939393939394
2019-12-21,Xinjiang,1,1,1,1,1,1,1,1
2019-12-21,Yunnan,1,1,1,1,1,2.1499999999999986,2.6599999999999966,1.1714285714285715
2019-12-21,Zhejiang,1,1,2,3,5,10,11,3.84375
2019-12-22,Anhui,1,1,2,3,4,7,11,3.0217391304347827
2019-12-22,Beijing,1,1,1,2,3,6.950000000000003,7.179999999999993,2.5301204819277108
2019-12-22,Chongqing,1,1,2,3,4.5,7,7.180000000000007,3.5894736842105264
2019-12-22,Fujian,1,1,1,1,2,3,3.450000000000003,1.4642857142857142
2019-12-22,Gansu,1,1,1,1,1,2,2,1.0952380952380953
2019-12-22,Guangdong,1,1,3,5,6,11.549999999999997,13.039999999999992,5.181818181818182
2019-12-22,Guangxi,1,1,1,1,3,4,4,1.8181818181818181
2019-12-22,Guizhou,1,1,1,1,1,1.7249999999999996,1.8900000000000006,1.0833333333333333
2019-12-22,Hainan,1,1,1,1,2,3,3.530000000000001,1.4583333333333333
2019-12-22,Hebei,1,1,1,1,1.25,3.0249999999999986,3.6099999999999994,1.35
2019-12-22,Heilongjiang,1,1,1,1,2,3,4.159999999999997,1.441860465116279
2019-12-22,Henan,1,1,2,4,5,8.575000000000003,12.120000000000005,3.9081632653061225
2019-12-22,Hong Kong,1,1,1,1,1,1,1,1
2019-12-22,Hubei,38,40.900000000000006,50.75,58,70,133.52499999999998,179.08000000000004,64.55
2019-12-22,Hunan,1,1,2,3,4,8.674999999999997,12,3.404255319148936
2019-12-22,Inner Mongolia,1,1,1,1,1,1,1,1
2019-12-22,Jiangsu,1,1,1,2,2,5.2749999999999915,6,1.9714285714285715
2019-12-22,Jiangxi,1,1,1,2,2,6,7.400000000000006,2.037037037037037
2019-12-22,Jilin,1,1,1,1,1,2,2,1.1818181818181819
2019-12-22,Liaoning,1,1,1,1,2,4,4,1.5897435897435896
2019-12-22,Ningxia,1,1,1,1,1,2.5,2.8000000000000007,1.1818181818181819
2019-12-22,Qinghai,1,1,1,1,1,1,1,1
2019-12-22,Shaanxi,1,1,1,1,2,2.9750000000000014,3.5899999999999963,1.4047619047619047
2019-12-22,Shandong,1,1,1,2,3,5,5.230000000000004,2.076923076923077
2019-12-22,Shanghai,1,1,1,2,3,5,5.5,2.210526315789474
2019-12-22,Shanxi,1,1,1,1,1,2.25,2.6999999999999993,1.1935483870967742
2019-12-22,Sichuan,1,1,1,2,2,5,5.359999999999985,2.0843373493975905
2019-12-22,Taiwan,1,1,1,1,1,1,1,1
2019-12-22,Tianjin,1,1,1,1,2,3,3,1.4210526315789473
2019-12-22,Xinjiang,1,1,1,1,1,1.8250000000000002,1.9299999999999997,1.125
2019-12-22,Yunnan,1,1,1,1,1,2.0749999999999957,2.6300000000000026,1.236842105263158
2019-12-22,Zhejiang,1,1,3,4,6,10,11.039999999999992,4.515463917525773
2019-12-23,Anhui,1,1,2,3,4,7,11.060000000000002,3.4210526315789473
2019-12-23,Beijing,1,1,2,2,4,6.825000000000003,8.129999999999995,2.7386363636363638
2019-12-23,Chongqing,1,1,2,4,6,8,9.060000000000002,4.030612244897959
2019-12-23,Fujian,1,1,1,1,2,3,3.3900000000000006,1.5806451612903225
2019-12-23,Gansu,1,1,1,1,1.25,2,2,1.25
2019-12-23,Guangdong,2,2,4,6,8,12.524999999999991,14.030000000000015,6.1
2019-12-23,Guangxi,1,1,1,2,3,4,4,1.9259259259259258
2019-12-23,Guizhou,1,1,1,1,1,1.5749999999999993,1.8299999999999983,1.0555555555555556
