"","alpha","sigma"
"425",1.40053902133129,5.75469806962516
"426",3.00150829247213,5.56315506567197
"427",1.84127255953196,7.295217718209
"428",2.52538844172806,5.49641610866332
"429",1.58806071436027,7.49433551373711
"430",1.94457572773665,6.00855105996866
"431",2.36757073547529,5.75941992706509
"432",2.46400775844843,5.8711620842723
"433",2.4827867261075,7.40804513866826
"434",2.56567260463581,5.67748397074194
"435",3.57328227178179,6.45541218270943
"436",3.39629658706846,7.36377823734379
"437",2.00507844652202,5.89911071943826
"438",2.25786854474781,6.92512230027137
"439",2.1807135737045,5.99239404710191
"440",3.49576305144846,6.41159151388469
"441",2.42888079248179,6.03445544572507
"442",5.15025534962239,6.62944528829806
"443",1.8871904844331,8.1793373443695
"444",3.33088188152635,6.69210148635043
"445",1.48887528768659,5.8388641897151
"446",3.56964324443301,6.32534387479431
"447",2.03936974126127,6.57896638300607
"448",1.88140456683248,5.17645756914254
"449",2.77617223930646,5.20947020038379
"450",2.34769477610437,6.47487979549218
"451",3.9128821294156,6.14088469801535
"452",3.06746339471655,7.63374675479375
"453",1.64487483139864,7.77733701819662
"454",2.4385581370486,5.47589731693321
"455",2.13663609893744,6.0495836517307
"456",2.95098219231568,5.65499901245456
"457",1.56226969710767,6.52777572318555
"458",1.95191675963543,5.6234832638862
"459",2.13257608020279,6.2297005455743
"460",1.91740396999946,7.17920970049958
"461",2.56753351021949,6.73013784329426
"462",2.9878607740425,6.70221058179958
"463",2.64404377624539,7.05257926757718
"464",2.12725091427941,7.26045813419226
"465",3.03613007216657,6.8227011365365
"466",2.45956947166744,5.27424112929115
"467",2.38640838699481,5.50160084326591
"468",2.48522742028837,6.96512146351362
"469",1.78932317564439,8.92031942482147
"470",1.91868024818241,7.97493891808257
"471",2.28806431630299,6.33560660201235
"472",2.24135812865035,8.51916081074557
"473",1.991884105981,7.62079759409058
"474",2.9835713993292,6.63537429447568
"475",1.90059911944374,6.35472305620323
"476",2.42814490280338,6.56363502291779
"477",2.66949365241691,6.65784597992771
"478",2.23703811182446,6.97879363907564
"479",2.21116504737169,6.87954345687841
"480",1.95922174032467,6.93539133924637
"481",2.44588693112265,6.35648735507176
"482",2.4907495178996,7.47962435914285
"483",2.56521152221267,6.45598876861244
"484",2.12615021293219,5.68470161157447
"485",1.97492445453527,6.7620674686838
"486",2.40664023477205,5.66646542305559
"487",2.01889888194362,7.02317882029511
"488",1.67841372751072,7.19273385600006
"489",2.10349468029528,7.19562454861904
"490",2.08233680839582,6.93948791018043
"491",1.74809464901975,7.10354272573933
"492",2.51519211068883,6.07691446438521
"493",2.88733124835096,6.43207167442633
"494",2.21234627335269,5.52148999210997
"495",2.60916272986728,6.17433342494797
"496",1.64892804848174,6.75138588775629
"497",1.5911194103781,5.07047751910263
"498",1.62082702728773,5.79030357024995
"499",2.10789321958531,7.16960538239537
"500",1.30526183940603,11.6781864991388
"501",2.07486940750185,5.76184111154476
"502",2.05728837586481,5.63858053369056
"503",2.19374355175203,7.25070835165964
"504",1.82267559952259,6.38372199713714
"505",2.57986532352426,5.88996638732277
"506",2.71876404988745,5.86317480363047
"507",2.38169246666837,6.59854958541475
"508",3.05800968968018,6.93937548830003
"509",2.65685569620023,6.98201874697037
"510",1.36462233698599,8.41561836321015
"511",2.2133081756088,5.81426547750714
"512",2.29859913209838,7.32561819137934
"513",1.65482737582869,9.02538735251898
"514",1.95572462830858,6.51304900336989
"515",2.89615544244949,6.41651066430525
"516",1.55906342877562,7.77368571794666
"517",2.21448269972051,6.6137675409151
